"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50"
-22.6385463829178,-9.46826151349497,-27.1362693237961,23.2547910562936,-30.9302034050108,-32.5092055072634,-34.4824419786503,-18.7960385666568,-24.2849307394376,-21.7931903014664,-19.4854805127465,-30.3977475821257,-20.4462229636244,-18.7165043478414,201.614652757619,-32.0419049992699,-29.7157311426458,-19.9818294144358,-29.8731270439137,-28.9954640655581,-20.5269392663725,-24.0192939190625,-31.5639260785932,-23.2394305574457,-14.5741199652009,-31.2420497446802,-22.3814600611277,-30.5762020256212,-18.1673828335999,-18.4388160833975,-14.7950318431591,-27.2143538379026,-28.4730004161817,-28.3982165256903,-23.80614209649,-15.5398805535326,-33.2173146601612,-27.6875432481036,-35.3754536122213,-29.8311495875603,-21.7378634236725,-30.4003396628546,-21.3833913756729,-33.5220210883346,-20.5193670122087,-23.2862737301828,-32.9552454187722,-23.8027057982058,-20.9753392757384,-24.955378963667
-29.4954618622716,-10.9831045212451,-33.8354426050937,37.5905574552016,-40.2164428401752,-42.3795954048971,-43.9697653665692,-25.2411356995449,-34.2039225330523,-28.2373966978959,-24.9649969349376,-37.8622298953132,-26.7757573368912,-22.9291553462738,149.343050173779,-41.5337280411328,-39.5559743266583,-25.5056976669348,-36.5847097374929,-36.6100716413131,-27.8987131530062,-32.9876195098044,-40.8000878363866,-28.2185986712722,-19.1006759876065,-41.3635560427095,-28.1580458574366,-39.1436453504632,-21.126369367322,-22.5299796114262,-17.9833170754412,-35.209385017372,-34.9235645374342,-36.029508484269,-30.4891487383116,-20.9715776425657,-41.9593366833083,-36.38637387529,-45.2636157667339,-37.9112011517456,-25.2236598650673,-36.9178083630444,-29.0898447845576,-43.0010369744674,-27.8798491442132,-31.586196798937,-43.0959825485058,-32.5392745881912,-27.0611787431457,-31.8976463230109
-21.7557476162729,-9.20356107308028,-26.38278267725,-0.993990704151372,-30.6737136556696,-30.7457118545513,-34.8874228910695,-20.238026901287,-25.406098215168,-21.9309131131323,-19.2370503514656,-28.4434476984398,-20.2915956843591,-19.3250985508376,50.9526942941233,-32.2871710591005,-31.7616856006401,-20.6252346281798,-30.1758445444074,-27.6287564161608,-21.7645557099573,-25.9932246654675,-31.1629250827179,-22.3315616514589,-16.0761483328087,-33.0494947899293,-22.5856354525721,-28.3339154708657,-17.5502310661651,-16.4486305480774,-15.272697117756,-27.6068741192551,-27.9613008436794,-28.4050262471912,-24.0122727515021,-17.4653738952836,-30.6304289607975,-26.2724649678065,-34.0309281170931,-29.6179442895323,-20.2648399774246,-29.9187133621616,-21.959746601546,-32.3115129740767,-22.1326013842401,-23.9849968033497,-34.2797917388532,-25.1123753205295,-23.3757870985394,-24.6238387186461
-12.1719160534969,7.4661526205505,-13.1640249882635,5.43155868268424,-16.5155028735883,-15.6347646113451,-18.0429467416669,-9.3982461955139,-14.0835051304824,-10.7451900130867,-9.28235145716004,-14.8455859473493,-10.0732361973897,-9.03605807267478,-8.21269708865218,-16.5001861997548,-14.8995266816595,-9.99022140526036,-15.549305242296,-13.5315368725882,-10.9338072338549,-12.4856072586665,-16.1464675411307,-10.8056635025774,-6.40671986478816,-15.6368208141735,-11.3657996512807,-14.1574234156604,-9.03546587633946,-9.07064824692442,-6.97376725719748,-15.0707070139859,-14.3245891648072,-14.6826873894831,-12.4154287862749,-7.70058546862685,-16.3564996048123,-13.2131541706648,-17.1967159827214,-15.4483623570634,-9.90634314434016,-15.1751263044999,-10.915418992673,-16.9471959091783,-10.2485111209558,-12.179111658534,-17.2574989723467,-11.5814609311262,-10.020425523894,-12.6704210925652
-8.62853479387548,2.41128540595968,-9.55278836479616,6.71690230588604,-11.7292727173773,-11.214118745646,-12.6411040744839,-6.58352874388931,-9.76698792264814,-7.04259650180981,-7.02572421610105,-9.93349199266426,-6.90073865659797,-6.11883638990751,24.228323808949,-12.1569741940324,-11.2689568467418,-6.26802761138587,-10.3982457139913,-10.0359326244706,-7.71233875613371,-8.80711570669858,-11.1228875776444,-8.46338081850778,-4.14401377477859,-11.5914458517329,-8.36459304458332,-11.1130718997471,-6.48093252981636,-5.10506586397676,-4.01711022057979,-10.3596656674687,-10.6438286714152,-10.0154414444047,-8.60811140601185,-6.30567993602593,-12.2563732055382,-10.3721535635612,-12.3907429889681,-10.5075036781125,-7.2355305499916,-11.2406887368245,-8.42550291769549,-12.397999586717,-7.98384793777619,-9.56151344904827,-12.8392028670168,-8.78941157073043,-7.34052956276164,-8.35001834670392
-16.8436099670651,4.80278976295354,-19.765583428471,46.0069489208421,-23.668912917029,-22.8796440699534,-25.6762685155963,-13.7749734595823,-19.5218075127828,-14.9138312529124,-13.8151573817601,-20.8903871399837,-15.0361183040532,-12.6057950483917,98.0410043253844,-23.5976076489188,-22.3919684946721,-13.0283500993087,-21.8612575212193,-21.0343685080569,-15.0334894754026,-18.8349077295363,-23.2783565772181,-16.0733393756988,-9.57603020856203,-24.5782810517904,-16.8923084196775,-21.3150796344917,-12.2161986537005,-13.334892994969,-8.77612098570741,-20.4376761656402,-21.5120937762799,-19.3041587602719,-18.6970262808058,-12.4299860554997,-24.3508021981238,-20.2120005091863,-26.4336844447576,-21.386718185261,-14.1443734990504,-20.9102098487567,-16.2086488372084,-23.9366713655721,-14.802174691047,-17.8281356068672,-24.5106344898904,-18.3318497929926,-15.5721503031635,-17.4133754017538
-22.0411582402201,-9.56031775213007,-26.5589606362225,-19.1716225001669,-33.8636016914417,-32.563069585696,-34.9198366679792,-19.7171966506881,-28.0485727436794,-22.6959504604515,-20.8355318529534,-29.2605390809046,-21.8998913338901,-19.3955178969066,-28.1327006526572,-33.6117291841672,-29.2623309185696,-21.039659733842,-31.4330369914814,-28.0446725811616,-23.0784506938728,-25.8983830450468,-31.2072202884365,-24.5422407134692,-15.0911089055941,-32.6560050041856,-22.304291265644,-30.8454471613536,-18.8211193522802,-17.2425876186433,-16.7670985808312,-29.5651622714229,-29.1843410855051,-29.0923216666741,-23.7567655221813,-18.737464539979,-34.4656569399149,-28.8874362948663,-36.6620777147039,-29.3772470511663,-21.4119537775689,-30.9253543401201,-22.9105328000204,-35.613322945319,-19.808308068399,-24.1755891549003,-33.850018899945,-23.9356350055264,-21.0815349014089,-23.4128676030571
-19.0388712501674,14.2148372657391,-22.7292347961008,28.5312008273438,-29.1190168395439,-28.5221802536741,-32.2955147585048,-6.90050548273765,-22.7461512818492,-16.0450913374472,-15.1784580615364,-25.6643473243222,-19.60595100495,-16.4156736818948,28.3295928348741,-30.5812594717528,-29.1035400680712,-17.3891960294924,-25.7065776564381,-25.9015724948501,-19.8652978605584,-21.5051691100055,-28.4783106557549,-20.5567133263387,-3.58856743713175,-29.9882094653612,-12.1905324775246,-25.983081758998,-5.40449471071331,-10.7805640778959,-7.43560904167484,-24.788829592523,-25.8750691465037,-25.1036620664187,-19.8969632820308,-5.88774256153713,-28.8575883585519,-23.3193564309628,-32.6310700655029,-26.4342221170904,-15.5511402344384,-25.7980849376373,-17.3059902769468,-29.3269543556148,-19.1386393112772,-22.6875146408719,-30.5743159939604,-21.4110732482348,-17.7309117584061,-19.820294169717
-3.26916216131299,10.2044633880624,-4.30513524384189,11.0595224343343,-4.92202178652932,-4.78928747046559,-5.94959143967298,6.60494896742441,-3.78452016510014,-0.946734147732623,-0.833479933198621,-5.18227250844346,-3.59403254905319,-1.8508663071524,-2.94230661444784,-6.01836688510592,-5.49835123659277,-2.52906713249138,-4.58712995363743,-4.34787069325706,-3.26084402674072,-3.36681687252263,-4.94079651884794,-3.30440776911758,8.04245069121025,-5.3826795405524,3.75335988062813,-4.77784461227987,7.19418944508516,3.47256432291731,4.03651614535697,-4.18465280493469,-4.37722231476484,-4.07221761434008,-2.45483275567351,7.0802438194703,-5.56220667493089,-3.56399544128113,-6.35491507007772,-4.83149428148688,-0.730974887675756,-5.10037353279898,-2.0074553749985,-5.19756637553877,-3.18819918300805,-4.143087302846,-5.92071391445713,-3.94407219843037,-2.42407882725568,-2.19140960786383
-2.74336450854821,8.89999565574467,-3.75172099199611,8.86619544998938,-4.72305144417575,-4.3472203750352,-5.6654844747304,6.48448244700085,-3.564420361026,-0.543565365195315,-0.848859665741278,-4.80939553609321,-3.55221430575757,-1.6084421501878,-17.3933792516489,-5.625015661518,-5.04242114758728,-2.33210647595902,-4.45745422838347,-4.16438469075448,-3.05041495477546,-2.88758738723955,-4.74268176303174,-3.09058236659373,7.37092621102297,-4.88700217026322,3.12756990007748,-4.38100131799432,6.88197280453523,2.54027659078221,3.50304186081705,-3.92274295100994,-4.30524579031535,-3.21731326425077,-2.52296157500714,6.31404222616015,-4.99712079684144,-3.0670216974283,-5.73149882020871,-4.40470855667292,-0.905524438085974,-4.7508956318786,-1.97641280531667,-4.83071193841599,-3.28385659829846,-3.60437694471876,-5.42611136122476,-3.30208641144481,-1.83172079918855,-1.94461963831766
